,Week,Week_Numer,Gross,Gross_Diff,Pot_Gross,Potential_Gross_Percent,Average_Paid_Ticket,Top_Ticket,Seats_Sold,Total_Seats,Performances,Capacity,Capacity_Diff,Show_Name
12,7/27/08,30,"$554,145","$29,340","$1,016,443",54.52%,$56.36,$200.00,9833,13936,8,70.6%,3.8%,Cirque Dreamsjungle Fantasy
13,8/03/08,31,"$507,337","$-46,808","$1,016,443",49.91%,$57.46,$200.00,8829,13936,8,63.4%,-7.2%,Cirque Dreamsjungle Fantasy
14,8/10/08,32,"$532,620","$25,283","$1,016,443",52.40%,$56.40,$200.00,9444,13936,8,67.8%,4.4%,Cirque Dreamsjungle Fantasy
15,8/17/08,33,"$532,416",$-204,"$1,016,443",52.38%,$58.00,$200.00,9180,13904,8,66.0%,-1.8%,Cirque Dreamsjungle Fantasy
16,8/24/08,34,"$576,326","$43,910","$1,016,443",56.70%,$57.21,$200.00,10074,13904,8,72.5%,6.5%,Cirque Dreamsjungle Fantasy
7,1/05/92,1,"$327,095","$-103,428",$0,,$0.00,$0.00,8136,0,8,0.0%,0.0%,City Of Angels
8,1/12/92,2,"$282,195","$-44,900",$0,,$0.00,$0.00,7635,0,8,0.0%,0.0%,City Of Angels
9,1/19/92,3,"$325,627","$43,432",$0,,$0.00,$0.00,8854,0,8,0.0%,0.0%,City Of Angels
7,3/14/99,11,"$211,886","$211,886","$361,828",58.56%,$40.61,$60.00,5218,7063,7,73.9%,0.0%,Closer
8,3/21/99,12,"$213,658","$1,772","$361,828",59.05%,$39.47,$60.00,5413,7063,7,76.6%,76.6%,Closer
9,3/28/99,13,"$240,096","$26,438","$361,828",66.36%,$42.80,$60.00,5610,7063,7,79.4%,2.8%,Closer
10,4/04/99,14,"$313,652","$73,556","$413,520",75.85%,$43.70,$60.00,7177,8072,8,88.9%,9.5%,Closer
11,4/11/99,15,"$340,255","$26,603","$413,520",82.28%,$43.93,$60.00,7746,8072,8,96.0%,7.1%,Closer
12,4/18/99,16,"$301,040","$-39,215","$413,520",72.80%,$44.67,$60.00,6739,8072,8,83.5%,-12.5%,Closer
13,4/25/99,17,"$279,381","$-21,659","$413,520",67.56%,$45.01,$60.00,6207,8072,8,76.9%,-6.6%,Closer
14,5/02/99,18,"$259,291","$-20,090","$413,520",62.70%,$44.41,$60.00,5838,8072,8,72.3%,-4.6%,Closer
15,5/09/99,19,"$266,581","$7,290","$413,520",64.47%,$43.37,$60.00,6147,8072,8,76.2%,3.9%,Closer
16,5/16/99,20,"$291,562","$24,981","$413,520",70.51%,$43.70,$60.00,6672,8072,8,82.7%,6.5%,Closer
17,5/23/99,21,"$298,719","$7,157","$413,520",72.24%,$43.59,$60.00,6853,8072,8,84.9%,2.2%,Closer
18,5/30/99,22,"$253,921","$-44,798","$413,520",61.40%,$41.98,$60.00,6049,8072,8,74.9%,-10.0%,Closer
19,6/06/99,23,"$244,251","$-9,670","$413,520",59.07%,$41.18,$60.00,5932,8072,8,73.5%,-1.4%,Closer
20,6/13/99,24,"$282,266","$38,015","$413,520",68.26%,$42.57,$60.00,6630,8072,8,82.1%,8.6%,Closer
21,6/20/99,25,"$186,516","$-95,750","$413,520",45.10%,$40.76,$60.00,4576,8072,8,56.7%,-25.4%,Closer
22,6/27/99,26,"$185,804",$-712,"$413,520",44.93%,$40.06,$60.00,4638,8072,8,57.5%,0.8%,Closer
23,7/04/99,27,"$164,373","$-21,431","$413,520",39.75%,$38.08,$60.00,4317,8072,8,53.5%,-4.0%,Closer
24,7/11/99,28,"$152,217","$-12,156","$413,520",36.81%,$35.07,$60.00,4340,8072,8,53.8%,0.3%,Closer
25,7/18/99,29,"$170,612","$18,395","$413,520",41.26%,$33.79,$60.00,5049,8072,8,62.5%,8.7%,Closer
26,7/25/99,30,"$123,928","$-46,684","$413,520",29.97%,$33.81,$60.00,3665,8072,8,45.4%,-17.1%,Closer
27,8/01/99,31,"$126,123","$2,195","$413,520",30.50%,$34.95,$60.00,3609,8072,8,44.7%,-0.7%,Closer
28,8/08/99,32,"$125,198",$-925,"$413,520",30.28%,$33.83,$60.00,3701,8072,8,45.8%,1.1%,Closer
29,8/15/99,33,"$139,269","$14,071","$413,520",33.68%,$30.93,$60.00,4503,8072,8,55.8%,10.0%,Closer
30,8/22/99,34,"$148,298","$9,029","$413,520",35.86%,$31.57,$60.00,4697,8072,8,58.2%,2.4%,Closer
7,4/01/12,14,"$233,486","$233,486","$854,032",27.34%,$39.56,$199.00,5902,7608,8,77.6%,0.0%,Clybourne Park
8,4/08/12,15,"$223,190","$-10,296","$854,032",26.13%,$39.25,$199.00,5687,7608,8,74.8%,74.8%,Clybourne Park
9,4/15/12,16,"$263,105","$39,915","$854,032",30.81%,$43.68,$199.00,6024,7608,8,79.2%,4.4%,Clybourne Park
10,4/22/12,17,"$282,159","$19,054","$854,032",33.04%,$45.06,$199.00,6262,7608,8,82.3%,3.1%,Clybourne Park
11,4/29/12,18,"$373,230","$91,071","$854,032",43.70%,$62.59,$199.00,5963,7608,8,78.4%,-3.9%,Clybourne Park
12,5/06/12,19,"$409,873","$36,643","$854,032",47.99%,$67.34,$199.00,6087,7608,8,80.0%,1.6%,Clybourne Park
13,5/13/12,20,"$400,448","$-9,425","$854,032",46.89%,$67.83,$199.00,5904,7608,8,77.6%,-2.4%,Clybourne Park
14,5/20/12,21,"$409,148","$8,700","$854,032",47.91%,$70.02,$199.00,5843,7608,8,76.8%,-0.8%,Clybourne Park
15,5/27/12,22,"$404,845","$-4,303","$854,032",47.40%,$67.55,$199.00,5993,7608,8,78.8%,2.0%,Clybourne Park
16,6/03/12,23,"$402,653","$-2,192","$854,032",47.15%,$71.19,$199.00,5656,7608,8,74.3%,-4.5%,Clybourne Park
17,6/10/12,24,"$425,889","$23,236","$854,032",49.87%,$71.90,$199.00,5923,7608,8,77.9%,3.6%,Clybourne Park
18,6/17/12,25,"$451,082","$25,193","$854,032",52.82%,$78.18,$199.00,5770,7608,8,75.8%,-2.1%,Clybourne Park
19,6/24/12,26,"$440,462","$-10,620","$854,032",51.57%,$78.04,$199.00,5644,7608,8,74.2%,-1.6%,Clybourne Park
20,7/01/12,27,"$394,874","$-45,588","$854,032",46.24%,$69.93,$199.00,5647,7608,8,74.2%,0.0%,Clybourne Park
21,7/08/12,28,"$412,922","$18,048","$854,032",48.35%,$67.36,$199.00,6130,7608,8,80.6%,6.4%,Clybourne Park
22,7/15/12,29,"$429,513","$16,591","$854,032",50.29%,$69.41,$199.00,6188,7608,8,81.3%,0.7%,Clybourne Park
23,7/22/12,30,"$358,048","$-71,465","$854,032",41.92%,$76.02,$199.00,4710,7608,8,61.9%,-19.4%,Clybourne Park
24,7/29/12,31,"$375,483","$17,435","$854,032",43.97%,$72.75,$199.00,5161,7608,8,67.8%,5.9%,Clybourne Park
25,8/05/12,32,"$393,487","$18,004","$854,032",46.07%,$74.20,$199.00,5303,7608,8,69.7%,1.9%,Clybourne Park
26,8/12/12,33,"$396,645","$3,158","$854,032",46.44%,$75.65,$199.00,5243,7608,8,68.9%,-0.8%,Clybourne Park
27,8/19/12,34,"$380,155","$-16,490","$854,032",44.51%,$69.61,$199.00,5461,7608,8,71.8%,2.9%,Clybourne Park
28,8/26/12,35,"$420,369","$40,214","$854,032",49.22%,$68.94,$199.00,6098,7608,8,80.2%,8.4%,Clybourne Park
29,9/02/12,36,"$486,336","$65,967","$854,032",56.95%,$73.70,$199.00,6599,7608,8,86.7%,6.5%,Clybourne Park
7,1/03/88,1,"$69,628","$38,440",$0,,$0.00,$0.00,3687,0,8,0.0%,0.0%,Coastal Disturbances
7,8/30/98,35,"$43,698","$43,698","$126,205",34.62%,$25.19,$50.00,1735,3522,6,49.3%,0.0%,Colin Quinn An Irish Wake
8,9/06/98,36,"$57,114","$13,416","$149,685",38.16%,$40.74,$50.00,1402,3522,6,39.8%,39.8%,Colin Quinn An Irish Wake
9,9/13/98,37,"$52,428","$-4,686","$149,685",35.03%,$42.08,$50.00,1246,3522,6,35.4%,-4.4%,Colin Quinn An Irish Wake
10,9/20/98,38,"$88,513","$36,085","$149,685",59.13%,$41.00,$50.00,2159,3522,6,61.3%,25.9%,Colin Quinn An Irish Wake
7,1/02/11,1,"$261,451","$105,635","$428,520",61.01%,$73.11,$180.00,3576,4696,8,76.1%,29.8%,Colin Quinnlong Story Short
8,1/09/11,2,"$217,312","$-44,139","$428,520",50.71%,$60.99,$165.00,3563,4696,8,75.9%,-0.2%,Colin Quinnlong Story Short
9,1/16/11,3,"$187,617","$-29,695","$428,520",43.78%,$57.39,$165.00,3269,4696,8,69.6%,-6.3%,Colin Quinnlong Story Short
10,1/23/11,4,"$168,862","$-18,755","$428,520",39.41%,$58.65,$165.00,2879,4696,8,61.3%,-8.3%,Colin Quinnlong Story Short
11,1/30/11,5,"$162,684","$-6,178","$428,520",37.96%,$57.63,$165.00,2823,4696,8,60.1%,-1.2%,Colin Quinnlong Story Short
12,2/06/11,6,"$157,063","$-5,621","$428,520",36.65%,$51.48,$165.00,3051,4696,8,65.0%,4.9%,Colin Quinnlong Story Short
13,2/13/11,7,"$161,672","$4,609","$428,520",37.73%,$59.22,$165.00,2730,4696,8,58.1%,-6.9%,Colin Quinnlong Story Short
14,2/20/11,8,"$174,730","$13,058","$428,520",40.78%,$60.40,$165.00,2893,4696,8,61.6%,3.5%,Colin Quinnlong Story Short
15,2/27/11,9,"$179,020","$4,290","$428,520",41.78%,$61.92,$165.00,2891,4696,8,61.6%,0.0%,Colin Quinnlong Story Short
16,3/06/11,10,"$161,966","$-17,054","$428,520",37.80%,$61.89,$165.00,2617,4696,8,55.7%,-5.9%,Colin Quinnlong Story Short
7,4/11/10,15,"$60,294","$60,294","$236,600",25.48%,$41.47,$97.00,1454,2600,4,55.9%,0.0%,Collected Stories
8,4/18/10,16,"$134,456","$74,162","$473,200",28.41%,$42.96,$97.00,3130,5200,8,60.2%,60.2%,Collected Stories
9,4/25/10,17,"$137,026","$2,570","$473,200",28.96%,$34.39,$97.00,3984,5200,8,76.6%,16.4%,Collected Stories
10,5/02/10,18,"$132,437","$-4,589","$473,200",27.99%,$34.77,$97.00,3809,5200,8,73.3%,-3.3%,Collected Stories
11,5/09/10,19,"$148,166","$15,729","$471,319",31.44%,$49.54,$97.00,2991,5200,8,57.5%,-15.8%,Collected Stories
12,5/16/10,20,"$167,034","$18,868","$471,319",35.44%,$52.07,$97.00,3208,5200,8,61.7%,4.2%,Collected Stories
13,5/23/10,21,"$156,680","$-10,354","$471,319",33.24%,$45.79,$97.00,3422,5200,8,65.8%,4.1%,Collected Stories
14,5/30/10,22,"$134,885","$-21,795","$471,319",28.62%,$42.18,$97.00,3198,5200,8,61.5%,-4.3%,Collected Stories
15,6/06/10,23,"$160,253","$25,368","$471,319",34.00%,$50.08,$97.00,3200,5200,8,61.5%,0.0%,Collected Stories
16,6/13/10,24,"$117,408","$-42,845","$471,319",24.91%,$30.55,$97.00,3843,5200,8,73.9%,12.4%,Collected Stories
7,1/06/08,1,"$87,185","$87,185","$279,900",31.15%,$49.23,$91.50,1771,3250,5,54.5%,0.0%,Come Back Little Sheba
8,1/13/08,2,"$152,027","$64,842","$447,840",33.95%,$49.31,$91.50,3083,5200,8,59.3%,59.3%,Come Back Little Sheba
9,1/20/08,3,"$150,571","$-1,456","$447,840",33.62%,$50.07,$91.50,3007,5200,8,57.8%,-1.5%,Come Back Little Sheba
10,1/27/08,4,"$149,607",$-964,"$441,900",33.86%,$53.30,$91.50,2807,5200,8,54.0%,-3.8%,Come Back Little Sheba
11,2/03/08,5,"$205,016","$55,409","$465,660",44.03%,$55.88,$96.50,3669,5200,8,70.6%,16.6%,Come Back Little Sheba
12,2/10/08,6,"$208,047","$3,031","$465,660",44.68%,$57.09,$96.50,3644,5200,8,70.1%,-0.5%,Come Back Little Sheba
13,2/17/08,7,"$218,598","$10,551","$465,660",46.94%,$58.11,$96.50,3762,5200,8,72.3%,2.2%,Come Back Little Sheba
14,2/24/08,8,"$209,450","$-9,148","$465,660",44.98%,$56.90,$96.50,3681,5200,8,70.8%,-1.5%,Come Back Little Sheba
15,3/02/08,9,"$222,041","$12,591","$465,660",47.68%,$56.93,$96.50,3900,5200,8,75.0%,4.2%,Come Back Little Sheba
16,3/09/08,10,"$205,183","$-16,858","$465,660",44.06%,$56.03,$96.50,3662,5200,8,70.4%,-4.6%,Come Back Little Sheba
17,3/16/08,11,"$244,702","$39,519","$465,660",52.55%,$55.24,$96.50,4430,5200,8,85.2%,14.8%,Come Back Little Sheba
7,3/07/10,10,"$502,367","$502,367","$1,306,795",38.44%,$56.98,$250.00,8817,11109,7,79.4%,0.0%,Come Fly Away
8,3/14/10,11,"$554,264","$51,897","$1,306,795",42.41%,$59.53,$250.00,9311,11109,7,83.8%,83.8%,Come Fly Away
9,3/21/10,12,"$598,912","$44,648","$1,493,480",40.10%,$56.29,$250.00,10640,12696,8,83.8%,0.0%,Come Fly Away
10,3/28/10,13,"$627,481","$28,569","$1,315,795",47.69%,$60.21,$250.00,10422,12696,8,82.1%,-1.7%,Come Fly Away
11,4/04/10,14,"$794,235","$166,754","$1,517,480",52.34%,$86.94,$250.00,9135,12888,8,70.9%,-11.2%,Come Fly Away
12,4/11/10,15,"$846,561","$52,326","$1,517,480",55.79%,$96.66,$250.00,8758,12888,8,68.0%,-2.9%,Come Fly Away
13,4/18/10,16,"$835,266","$-11,295","$1,517,480",55.04%,$95.99,$250.00,8702,12888,8,67.5%,-0.5%,Come Fly Away
14,4/25/10,17,"$918,318","$83,052","$1,517,480",60.52%,$96.39,$250.00,9527,12888,8,73.9%,6.4%,Come Fly Away
15,5/02/10,18,"$758,163","$-160,155","$1,517,480",49.96%,$87.47,$250.00,8668,12888,8,67.3%,-6.6%,Come Fly Away
16,5/09/10,19,"$847,675","$89,512","$1,517,480",55.86%,$99.53,$250.00,8517,12888,8,66.1%,-1.2%,Come Fly Away
17,5/16/10,20,"$871,343","$23,668","$1,517,480",57.42%,$97.57,$250.00,8930,12888,8,69.3%,3.2%,Come Fly Away
18,5/23/10,21,"$851,368","$-19,975","$1,517,480",56.10%,$95.57,$250.00,8908,12888,8,69.1%,-0.2%,Come Fly Away
19,5/30/10,22,"$713,653","$-137,715","$1,517,480",47.03%,$96.44,$250.00,7400,12888,8,57.4%,-11.7%,Come Fly Away
20,6/06/10,23,"$712,129","$-1,524","$1,517,480",46.93%,$97.25,$250.00,7323,12888,8,56.8%,-0.6%,Come Fly Away
21,6/13/10,24,"$806,866","$94,737","$1,517,480",53.17%,$95.61,$250.00,8439,12888,8,65.5%,8.7%,Come Fly Away
22,6/20/10,25,"$667,096","$-139,770","$1,517,480",43.96%,$99.02,$250.00,6737,12888,8,52.3%,-13.2%,Come Fly Away
23,6/27/10,26,"$695,277","$28,181","$1,517,480",45.82%,$98.83,$250.00,7035,12888,8,54.6%,2.3%,Come Fly Away
24,7/04/10,27,"$515,296","$-179,981","$1,517,480",33.96%,$93.01,$250.00,5540,12888,8,43.0%,-11.6%,Come Fly Away
25,7/11/10,28,"$488,217","$-27,079","$1,517,480",32.17%,$93.76,$250.00,5207,12888,8,40.4%,-2.6%,Come Fly Away
26,7/18/10,29,"$558,074","$69,857","$1,517,480",36.78%,$90.46,$250.00,6169,12888,8,47.9%,7.5%,Come Fly Away
27,7/25/10,30,"$574,485","$16,411","$1,517,480",37.86%,$91.03,$250.00,6311,12888,8,49.0%,1.1%,Come Fly Away
28,8/01/10,31,"$526,565","$-47,920","$1,517,480",34.70%,$85.27,$250.00,6175,12888,8,47.9%,-1.1%,Come Fly Away
29,8/08/10,32,"$550,169","$23,604","$1,517,480",36.26%,$83.32,$250.00,6603,12888,8,51.2%,3.3%,Come Fly Away
30,8/15/10,33,"$581,541","$31,372","$1,517,480",38.32%,$74.58,$250.00,7798,12888,8,60.5%,9.3%,Come Fly Away
31,8/22/10,34,"$635,399","$53,858","$1,517,480",41.87%,$70.22,$250.00,9049,12888,8,70.2%,9.7%,Come Fly Away
32,8/29/10,35,"$633,486","$-1,913","$1,517,480",41.75%,$71.39,$250.00,8873,12888,8,68.8%,-1.4%,Come Fly Away
33,9/05/10,36,"$703,952","$70,466","$1,517,480",46.39%,$75.65,$250.00,9305,12888,8,72.2%,3.4%,Come Fly Away
7,1/07/18,1,"$1,286,045","$-548,173","$1,260,966",101.99%,$151.28,$347.00,8501,8368,8,101.6%,-0.4%,Come From Away
8,1/14/18,2,"$1,296,339","$10,294","$1,260,966",102.81%,$151.92,$347.00,8533,8368,8,102.0%,0.4%,Come From Away
9,1/21/18,3,"$1,201,168","$-95,171","$1,260,966",95.26%,$142.61,$347.00,8423,8368,8,100.7%,-1.3%,Come From Away
10,1/28/18,4,"$1,197,545","$-3,623","$1,260,966",94.97%,$140.49,$347.00,8524,8368,8,101.9%,1.2%,Come From Away
11,2/04/18,5,"$1,129,937","$-67,608","$1,260,966",89.61%,$133.04,$347.00,8493,8368,8,101.5%,-0.4%,Come From Away
12,2/11/18,6,"$1,141,413","$11,476","$1,260,966",90.52%,$135.56,$347.00,8420,8368,8,100.6%,-0.9%,Come From Away
13,2/18/18,7,"$1,296,910","$155,497","$1,276,084",101.63%,$152.08,$347.00,8528,8368,8,101.9%,1.3%,Come From Away
14,2/25/18,8,"$1,216,629","$-80,281","$1,260,966",96.48%,$142.46,$347.00,8540,8368,8,102.1%,0.2%,Come From Away
15,3/04/18,9,"$1,113,330","$-103,299","$1,260,966",88.29%,$131.15,$347.00,8489,8368,8,101.4%,-0.7%,Come From Away
16,3/11/18,10,"$1,130,055","$16,725","$1,260,966",89.62%,$135.55,$347.00,8337,8368,8,99.6%,-1.8%,Come From Away
17,3/18/18,11,"$1,181,084","$51,029","$1,260,966",93.66%,$138.28,$347.00,8541,8368,8,102.1%,2.5%,Come From Away
18,3/25/18,12,"$1,145,117","$-35,967","$1,260,966",90.81%,$137.27,$347.00,8342,8368,8,99.7%,-2.4%,Come From Away
19,4/01/18,13,"$1,293,049","$147,932","$1,260,966",102.54%,$151.50,$347.00,8535,8368,8,102.0%,2.3%,Come From Away
20,4/08/18,14,"$1,239,523","$-53,526","$1,260,966",98.30%,$145.35,$347.00,8528,8368,8,101.9%,-0.1%,Come From Away
21,4/15/18,15,"$1,221,501","$-18,022","$1,260,966",96.87%,$143.20,$347.00,8530,8368,8,101.9%,0.0%,Come From Away
22,4/22/18,16,"$1,237,166","$15,665","$1,260,966",98.11%,$145.12,$347.00,8525,8368,8,101.9%,0.0%,Come From Away
23,4/29/18,17,"$1,219,106","$-18,060","$1,260,966",96.68%,$143.09,$347.00,8520,8368,8,101.8%,-0.1%,Come From Away
24,5/06/18,18,"$1,180,366","$-38,740","$1,260,966",93.61%,$138.95,$347.00,8495,8368,8,101.5%,-0.3%,Come From Away
25,5/13/18,19,"$1,244,395","$64,029","$1,260,966",98.69%,$146.06,$347.00,8520,8368,8,101.8%,0.3%,Come From Away
26,5/20/18,20,"$1,208,987","$-35,408","$1,260,966",95.88%,$141.58,$347.00,8539,8368,8,102.0%,0.2%,Come From Away
27,5/27/18,21,"$1,179,458","$-29,529","$1,260,966",93.54%,$138.40,$347.00,8522,8368,8,101.8%,-0.2%,Come From Away
28,6/03/18,22,"$1,133,157","$-46,301","$1,260,966",89.86%,$133.06,$347.00,8516,8368,8,101.8%,0.0%,Come From Away
29,6/10/18,23,"$1,190,799","$57,642","$1,260,966",94.44%,$139.62,$347.00,8529,8368,8,101.9%,0.1%,Come From Away
30,6/17/18,24,"$1,204,298","$13,498","$1,260,966",95.51%,$141.10,$347.00,8535,8368,8,102.0%,0.1%,Come From Away
31,6/24/18,25,"$1,223,504","$19,206","$1,260,966",97.03%,$143.27,$347.00,8540,8368,8,102.1%,0.1%,Come From Away
32,7/01/18,26,"$1,153,172","$-70,332","$1,260,966",91.45%,$135.06,$347.00,8538,8368,8,102.0%,-0.1%,Come From Away
33,7/08/18,27,"$1,035,985","$-117,187","$1,260,966",82.16%,$121.42,$347.00,8532,8368,8,102.0%,0.0%,Come From Away
34,7/15/18,28,"$1,147,526","$111,540","$1,260,966",91.00%,$134.40,$347.00,8538,8368,8,102.0%,0.0%,Come From Away
35,7/22/18,29,"$1,129,233","$-18,292","$1,260,966",89.55%,$132.28,$347.00,8537,8368,8,102.0%,0.0%,Come From Away
36,7/29/18,30,"$1,112,224","$-17,009","$1,260,966",88.20%,$130.27,$347.00,8538,8368,8,102.0%,0.0%,Come From Away
37,8/05/18,31,"$1,122,417","$10,192","$1,260,966",89.01%,$131.48,$347.00,8537,8368,8,102.0%,0.0%,Come From Away
38,8/12/18,32,"$1,109,467","$-12,950","$1,260,966",87.99%,$129.87,$297.00,8543,8368,8,102.1%,0.1%,Come From Away
39,8/19/18,33,"$1,093,467","$-16,001","$1,260,966",86.72%,$128.46,$347.00,8512,8368,8,101.7%,-0.4%,Come From Away
40,8/26/18,34,"$1,055,803","$-37,663","$1,260,966",83.73%,$123.62,$347.00,8541,8368,8,102.1%,0.4%,Come From Away
7,12/18/94,51,"$69,008","$69,008",$0,,$0.00,$0.00,6870,0,6,0.0%,0.0%,Comedy Tonight
8,12/25/94,52,"$65,506","$-3,502",$0,,$0.00,$0.00,5111,0,8,0.0%,0.0%,Comedy Tonight
7,1/07/07,1,"$424,132","$-189,762","$743,305",57.06%,$72.38,$251.25,5860,8368,8,70.0%,-17.3%,Company
8,1/14/07,2,"$420,627","$-3,505","$743,305",56.59%,$75.64,$251.25,5561,8368,8,66.5%,-3.5%,Company
9,1/21/07,3,"$390,022","$-30,605","$743,305",52.47%,$74.57,$251.25,5230,8368,8,62.5%,-4.0%,Company
10,1/28/07,4,"$374,198","$-15,824","$743,305",50.34%,$73.78,$251.25,5072,8368,8,60.6%,-1.9%,Company
11,2/04/07,5,"$313,819","$-60,379","$743,305",42.22%,$70.38,$251.25,4459,8368,8,53.3%,-7.3%,Company
12,2/11/07,6,"$359,535","$45,716","$743,305",48.37%,$74.04,$251.25,4856,8368,8,58.0%,4.7%,Company
13,2/18/07,7,"$388,279","$28,744","$743,305",52.24%,$70.52,$251.25,5506,8368,8,65.8%,7.8%,Company
14,2/25/07,8,"$380,104","$-8,175","$743,305",51.14%,$66.00,$251.25,5759,8368,8,68.8%,3.0%,Company
15,3/04/07,9,"$312,745","$-67,359","$743,305",42.07%,$66.77,$251.25,4684,8368,8,56.0%,-12.8%,Company
16,3/11/07,10,"$327,325","$14,580","$743,305",44.04%,$68.38,$251.25,4787,8368,8,57.2%,1.2%,Company
17,3/18/07,11,"$331,414","$4,089","$743,305",44.59%,$63.50,$251.25,5219,8368,8,62.4%,5.2%,Company
18,3/25/07,12,"$314,585","$-16,829","$743,305",42.32%,$66.49,$251.25,4731,8368,8,56.5%,-5.9%,Company
19,4/01/07,13,"$253,502","$-61,083","$743,305",34.10%,$63.97,$251.25,3963,8368,8,47.4%,-9.1%,Company
20,4/08/07,14,"$305,732","$52,230","$743,305",41.13%,$60.05,$251.25,5091,8368,8,60.8%,13.4%,Company
21,4/15/07,15,"$250,250","$-55,482","$743,305",33.67%,$64.23,$251.25,3896,8368,8,46.6%,-14.2%,Company
22,4/22/07,16,"$254,023","$3,773","$743,305",34.17%,$64.49,$251.25,3939,8368,8,47.1%,0.5%,Company
23,4/29/07,17,"$218,615","$-35,408","$743,305",29.41%,$63.77,$251.25,3428,8368,8,41.0%,-6.1%,Company
24,5/06/07,18,"$222,412","$3,797","$743,305",29.92%,$63.08,$251.25,3526,8368,8,42.1%,1.1%,Company
25,5/13/07,19,"$233,902","$11,490","$743,305",31.47%,$64.76,$251.25,3612,8368,8,43.2%,1.1%,Company
26,5/20/07,20,"$256,974","$23,072","$743,305",34.57%,$66.68,$251.25,3854,8368,8,46.1%,2.9%,Company
27,5/27/07,21,"$255,239","$-1,735","$743,305",34.34%,$61.13,$251.25,4175,8368,8,49.9%,3.8%,Company
28,6/03/07,22,"$226,729","$-28,510","$743,305",30.50%,$62.49,$251.25,3628,8368,8,43.4%,-6.5%,Company
29,6/10/07,23,"$225,986",$-743,"$743,305",30.40%,$56.33,$251.25,4012,8368,8,47.9%,4.5%,Company
30,6/17/07,24,"$274,629","$48,643","$743,305",36.95%,$56.98,$251.25,4820,8368,8,57.6%,9.7%,Company
31,6/24/07,25,"$331,306","$56,677","$743,305",44.57%,$60.51,$251.25,5475,8368,8,65.4%,7.8%,Company
32,7/01/07,26,"$448,158","$116,852","$743,305",60.29%,$63.96,$251.25,7007,8368,8,83.7%,18.3%,Company
7,9/03/95,36,"$173,012","$173,012","$235,778",73.38%,$0.00,$67.50,3493,3493,7,100.0%,0.0%,Company Original
8,9/10/95,37,"$168,557","$-4,455",$0,,$0.00,$67.50,3992,0,8,0.0%,0.0%,Company Original
9,9/17/95,38,"$165,459","$-3,098",$0,,$0.00,$67.50,3992,0,8,0.0%,0.0%,Company Original
10,9/24/95,39,"$171,719","$6,260",$0,,$0.00,$67.50,3992,0,8,0.0%,0.0%,Company Original
11,10/01/95,40,"$160,352","$-11,367",$0,,$0.00,$67.50,3992,0,8,0.0%,0.0%,Company Original
12,10/08/95,41,"$169,121","$8,769",$0,,$0.00,$67.50,3992,0,8,0.0%,0.0%,Company Original
13,10/15/95,42,"$154,445","$-14,676",$0,,$0.00,$67.50,3992,0,0,0.0%,0.0%,Company Original
14,10/22/95,43,"$178,005","$23,560",$0,,$0.00,$67.50,3992,0,8,0.0%,0.0%,Company Original
15,10/29/95,44,"$166,843","$-11,162",$0,,$0.00,$67.50,3992,0,8,0.0%,0.0%,Company Original
16,11/05/95,45,"$196,848","$30,005",$0,,$0.00,$67.50,3992,0,8,0.0%,0.0%,Company Original
17,11/12/95,46,"$199,835","$2,987",$0,,$0.00,$67.50,3955,0,8,0.0%,0.0%,Company Original
18,11/19/95,47,"$194,727","$-5,108",$0,,$0.00,$67.50,3992,0,8,0.0%,0.0%,Company Original
19,11/26/95,48,"$224,055","$29,328",$0,,$0.00,$67.50,3992,0,8,0.0%,0.0%,Company Original
20,12/03/95,49,"$209,612","$-14,443",$0,,$52.51,$67.50,3992,0,8,0.0%,0.0%,Company Original
7,1/04/15,1,"$478,445","$94,057","$679,684",70.39%,$94.93,$0.00,5040,5200,8,96.9%,6.1%,Constellations
8,1/11/15,2,"$336,203","$-142,242","$593,416",56.66%,$75.15,$0.00,4474,4550,7,98.3%,1.4%,Constellations
9,1/18/15,3,"$432,399","$96,196","$783,660",55.18%,$74.19,$0.00,5828,5850,9,99.6%,1.3%,Constellations
10,1/25/15,4,"$499,445","$67,046","$782,160",63.85%,$96.89,$0.00,5155,5200,8,99.1%,-0.5%,Constellations
11,2/01/15,5,"$508,352","$8,907","$782,160",64.99%,$100.46,$0.00,5060,5200,8,97.3%,-1.8%,Constellations
12,2/08/15,6,"$530,585","$22,233","$782,160",67.84%,$103.39,$0.00,5132,5200,8,98.7%,1.4%,Constellations
13,2/15/15,7,"$491,055","$-39,530","$684,390",71.75%,$94.93,$0.00,5173,5200,8,99.5%,0.8%,Constellations
14,2/22/15,8,"$600,043","$108,988","$782,160",76.72%,$116.31,$0.00,5159,5200,8,99.2%,-0.3%,Constellations
15,3/01/15,9,"$661,547","$61,504","$820,910",80.59%,$114.99,$0.00,5753,5850,9,98.3%,-0.9%,Constellations
16,3/08/15,10,"$689,238","$27,691","$820,910",83.96%,$118.08,$0.00,5837,5850,9,99.8%,1.5%,Constellations
17,3/15/15,11,"$704,605","$15,367","$820,910",85.83%,$120.53,$0.00,5846,5850,9,99.9%,0.1%,Constellations
7,1/06/02,1,"$431,781","$-185,184","$656,080",65.81%,$58.93,$85.00,7327,8536,8,85.8%,-14.0%,Contact
8,1/13/02,2,"$386,517","$-45,264","$656,080",58.91%,$49.59,$85.00,7795,8536,8,91.3%,5.5%,Contact
